num,name,address,wilaya,code_wil
1,The Address,"The Address Mohammadia : Centre commercial Mohammadia Mall, tamaris, 4e étage, n° 1163",Alger,16
2,The Address,"The Address Sidi Yahia : 36 Chemin Sidi Yahia, Hydra",Alger,16
3,Sylabs,"08 Rue Capitaine Hassani, Alger Centre (face à l’Institut français)",Alger,16
4,Bulle Space,"4 Rue Mohamed Abdou, El Mouradia",Alger,16
5,Bab 08,"08, rue Didouche Mourad, Place Audin",Alger,16
6,Le 95,"95, rue Didouche Mourad, Alger Centre",Alger,16
7,Capcowork,"Cité du Paradou, Hydra",Alger,16
8,Orbit,"Rue Mercurie, Boulevard Mohamed 5, Alger Centre",Alger,16
9,The Annex,"T3 lotissement El Hamiz, 12 Chemin Sidi Yahia, Hydra",Alger,16
10,Créarena,"01, Avenue Kritli Mokhtar",Alger,16
11,CosyCoffice,"Cité 500 logements (1100), BT 08, N° 11, AIN EL BEY",Constantine,25
12,Niwa,"Bâtiment N°10, Apt 3, Place Hoche, Rue Larbi ben M’hidi",Oran,31
13,Sétif,"78, Boulevard du 1er nouvember, El-Eulma 19600",Sétif,19
